"Local Authority","School Type","Year Group","Year","Walk","Cycle","Scooter / Skate","Park & Stride","Driven","Bus","Taxi","Other"
"Aberdeen City","Primary","P1-P4",2008,3742.816,115.444,139.748,407.092,1421.784,176.204,54.684,24.304
"Aberdeen City","Primary","P1-P4",2009,3004.104,110.704,100.64,397.528,1182.52,166.056,NA,NA
"Aberdeen City","Primary","P1-P4",2010,2523.9,84.6,89.3,460.6,1259.6,239.7,42.3,0
"Aberdeen City","Primary","P1-P4",2011,3021,127,145,384,1477,147,NA,NA
"Aberdeen City","Primary","P1-P4",2012,3099,195,163,362,1500,137,48,17
"Aberdeen City","Primary","P1-P4",2013,2519,144,200,375,1418,165,52,6
"Aberdeen City","Primary","P1-P4",2014,3192,172,240,514,1666,226,96,6
"Aberdeen City","Primary","P5-P7",2008,3097.926,66.195,NA,370.692,635.472,154.455,44.13,NA
"Aberdeen City","Primary","P5-P7",2009,2413.166,92.404,NA,309.198,536.654,124.39,49.756,NA
"Aberdeen City","Primary","P5-P7",2010,2029.244,94.53,22.057,274.137,532.519,154.399,34.661,6.302
"Aberdeen City","Primary","P5-P7",2011,2356,151,NA,279,654,98,41,NA
"Aberdeen City","Primary","P5-P7",2012,2173,135,58,288,669,76,43,13
"Aberdeen City","Primary","P5-P7",2013,1698,88,73,247,645,95,NA,NA
"Aberdeen City","Primary","P5-P7",2014,2132,170,72,347,740,106,NA,NA
"Aberdeen City","Secondary ","S1-S3",2008,1733.4,112.35,0,166.92,321,834.6,32.1,6.42
"Aberdeen City","Secondary ","S1-S3",2009,2114.042,88.392,NA,173.101,335.153,939.165,25.781,NA
"Aberdeen City","Secondary ","S1-S3",2010,915.438,13.008,NA,68.292,170.73,450.402,4.878,NA
"Aberdeen City","Secondary ","S1-S3",2011,1376,51,NA,131,317,837,26,NA
"Aberdeen City","Secondary ","S1-S3",2012,686,37,NA,48,127,301,19,NA
"Aberdeen City","Secondary ","S1-S3",2013,497,14,NA,29,106,441,15,NA
"Aberdeen City","Secondary ","S1-S3",2014,933,30,NA,53,276,663,20,NA
"Aberdeen City","Secondary ","S4-S6",2008,1014.72,36.24,NA,50.736,226.5,463.872,18.12,NA
"Aberdeen City","Secondary ","S4-S6",2009,1286.113,43.871,NA,92.36,281.698,568.014,16.163,NA
"Aberdeen City","Secondary ","S4-S6",2010,550.45,13.13,5.05,37.37,112.11,282.8,NA,NA
"Aberdeen City","Secondary ","S4-S6",2011,908,25,NA,44,269,411,10,NA
"Aberdeen City","Secondary ","S4-S6",2012,466,NA,NA,21,118,239,13,19
"Aberdeen City","Secondary ","S4-S6",2013,450,NA,NA,28,75,261,10,NA
"Aberdeen City","Secondary ","S4-S6",2014,1805,26,7,144,434,972,33,7
"Aberdeen City","SEN","P1-P4",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P1-P4",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P1-P4",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P1-P4",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P1-P4",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P1-P4",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P1-P4",2014,NA,0,0,0,NA,NA,10,0
