"Local Authority","School Type","Year Group","Year","Walk","Cycle","Scooter / Skate","Park & Stride","Driven","Bus","Taxi","Other"
"Aberdeen City","Primary","P1-P4",2008,0.616,0.019,0.023,0.067,0.234,0.029,0.009,0.004
"Aberdeen City","Primary","P1-P4",2009,0.597,0.022,0.02,0.079,0.235,0.033,NA,NA
"Aberdeen City","Primary","P1-P4",2010,0.537,0.018,0.019,0.098,0.268,0.051,0.009,0
"Aberdeen City","Primary","P1-P4",2011,0.561941964285714,0.0236235119047619,0.0269717261904762,0.0714285714285714,0.274739583333333,0.02734375,NA,NA
"Aberdeen City","Primary","P1-P4",2012,0.56131135663829,0.0353196884622351,0.0295236370222786,0.0655678319145082,0.271689911247962,0.0248143452273139,0.00869407715993479,0.00307915232747691
"Aberdeen City","Primary","P1-P4",2013,0.516294322607092,0.0295142447222792,0.040992006558721,0.076860012297602,0.290633326501332,0.0338184054109449,0.0106579217052675,0.00122976019676163
"Aberdeen City","Primary","P1-P4",2014,0.522251308900524,0.0281413612565445,0.0392670157068063,0.0840968586387435,0.272578534031414,0.0369764397905759,0.0157068062827225,0.000981675392670157
"Aberdeen City","Primary","P5-P7",2008,0.702,0.015,NA,0.084,0.144,0.035,0.01,NA
"Aberdeen City","Primary","P5-P7",2009,0.679,0.026,NA,0.087,0.151,0.035,0.014,NA
"Aberdeen City","Primary","P5-P7",2010,0.644,0.03,0.007,0.087,0.169,0.049,0.011,0.002
"Aberdeen City","Primary","P5-P7",2011,0.653718091009989,0.0418978912319645,NA,0.0774139844617092,0.181465038845727,0.0271920088790233,0.0113762486126526,NA
"Aberdeen City","Primary","P5-P7",2012,0.628943560057887,0.0390738060781476,0.0167872648335745,0.0833574529667149,0.193632416787265,0.0219971056439942,0.0124457308248915,0.00376266280752533
"Aberdeen City","Primary","P5-P7",2013,0.588153792864565,0.0304814686525805,0.0252857637686179,0.085555940422584,0.223415310010391,0.0329061309317631,NA,NA
"Aberdeen City","Primary","P5-P7",2014,0.590418166712822,0.0470783716422044,0.019939075048463,0.096095264469676,0.204929382442537,0.0293547493769039,NA,NA
"Aberdeen City","Secondary ","S1-S3",2008,0.54,0.035,0,0.052,0.1,0.26,0.01,0.002
"Aberdeen City","Secondary ","S1-S3",2009,0.574,0.024,NA,0.047,0.091,0.255,0.007,NA
"Aberdeen City","Secondary ","S1-S3",2010,0.563,0.008,NA,0.042,0.105,0.277,0.003,NA
"Aberdeen City","Secondary ","S1-S3",2011,0.501275045537341,0.0185792349726776,NA,0.0477231329690346,0.115482695810565,0.304918032786885,0.00947176684881603,NA
"Aberdeen City","Secondary ","S1-S3",2012,0.562756357670221,0.0303527481542248,NA,0.0393765381460213,0.104183757178015,0.246923707957342,0.0155865463494668,NA
"Aberdeen City","Secondary ","S1-S3",2013,0.449773755656109,0.0126696832579186,NA,0.0262443438914027,0.0959276018099548,0.399095022624434,0.0135746606334842,NA
"Aberdeen City","Secondary ","S1-S3",2014,0.470974255426552,0.0151438667339727,NA,0.0267541645633518,0.139323573952549,0.334679454820798,0.0100959111559818,NA
"Aberdeen City","Secondary ","S4-S6",2008,0.56,0.02,NA,0.028,0.125,0.256,0.01,NA
"Aberdeen City","Secondary ","S4-S6",2009,0.557,0.019,NA,0.04,0.122,0.246,0.007,NA
"Aberdeen City","Secondary ","S4-S6",2010,0.545,0.013,0.005,0.037,0.111,0.28,NA,NA
"Aberdeen City","Secondary ","S4-S6",2011,0.542089552238806,0.0149253731343284,NA,0.0262686567164179,0.160597014925373,0.245373134328358,0.00597014925373134,NA
"Aberdeen City","Secondary ","S4-S6",2012,0.52300785634119,NA,NA,0.0235690235690236,0.132435465768799,0.268237934904602,0.0145903479236813,0.021324354657688
"Aberdeen City","Secondary ","S4-S6",2013,0.538922155688623,NA,NA,0.0335329341317365,0.0898203592814371,0.312574850299401,0.0119760479041916,NA
"Aberdeen City","Secondary ","S4-S6",2014,0.526546091015169,0.00758459743290548,0.00204200700116686,0.0420070011668611,0.126604434072345,0.283547257876313,0.00962660443407235,0.00204200700116686
"Aberdeen City","SEN","P1-P4",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P1-P4",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P1-P4",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P1-P4",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P1-P4",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P1-P4",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P1-P4",2014,NA,0,0,0,NA,NA,0.625,0
"Aberdeen City","SEN","P5-P7",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P5-P7",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P5-P7",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P5-P7",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P5-P7",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P5-P7",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","P5-P7",2014,0,0,0,0,0,0,1,0
"Aberdeen City","SEN","S1-S3",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","S1-S3",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","S1-S3",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","S1-S3",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","S1-S3",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","S1-S3",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","S1-S3",2014,0,0,0,0,0,0,1,0
"Aberdeen City","SEN","S4-S6",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","S4-S6",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen City","SEN","S4-S6",2010,NA,NA,NA,NA,NA,NA,NA,NA
